timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论
2025-09-13 20:38:20,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多
2025-09-13 20:38:21,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多
2025-09-13 20:38:22,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多
2025-09-13 20:38:23,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多
2025-09-13 20:38:24,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多
2025-09-13 20:38:25,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多
2025-09-13 20:38:26,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多
2025-09-13 20:38:27,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多
2025-09-13 20:38:28,0.31,,0.18,B,0.22,B,-1.01,B,0.74,C,0.22,A,-0.19,A,-0.5,B,观望
2025-09-13 20:38:29,0.47,,0.17,B,nan,B,-0.96,B,1.01,B,0.21,A,0.06,A,0.48,B,观望
2025-09-13 20:38:30,0.47,,0.17,B,nan,B,-0.96,B,1.01,B,0.21,A,0.06,A,0.48,B,观望
2025-09-13 20:38:31,0.47,,0.17,B,nan,B,-0.96,B,1.01,B,0.21,A,0.06,A,0.48,B,观望
2025-09-13 20:38:32,0.47,,0.17,B,nan,B,-0.96,B,1.01,B,0.21,A,0.06,A,0.48,B,观望
2025-09-13 20:38:33,0.47,,0.17,B,nan,B,-0.96,B,1.01,B,0.21,A,0.06,A,0.48,B,观望
2025-09-13 20:38:34,0.47,,0.17,B,nan,B,-0.96,B,1.01,B,0.21,A,0.06,A,0.48,B,观望
2025-09-13 20:38:35,0.31,,0.18,B,0.22,B,-1.01,B,0.74,C,0.22,A,-0.19,A,-0.5,B,观望
2025-09-13 20:38:36,1.39,B,-0.91,B,0.2,B,nan,B,-0.13,A,0.2,A,1.45,A,1.75,B,观望
2025-09-13 20:38:37,1.39,B,-0.91,B,0.2,B,nan,B,-0.13,A,0.2,A,1.45,A,1.75,B,观望
2025-09-13 20:38:38,1.39,B,-0.91,B,0.2,B,nan,B,-0.13,A,0.2,A,1.45,A,1.75,B,观望
2025-09-13 20:38:39,1.39,B,-0.91,B,0.2,B,nan,B,-0.13,A,0.2,A,1.45,A,1.75,B,观望
2025-09-13 20:38:40,1.39,B,-0.91,B,0.2,B,nan,B,-0.13,A,0.2,A,1.45,A,1.75,B,观望
2025-09-13 20:38:41,1.39,B,-0.91,B,0.2,B,nan,B,-0.13,A,0.2,A,1.45,A,1.75,B,观望
2025-09-13 20:38:42,1.39,B,-0.91,B,0.2,B,nan,B,-0.13,A,0.2,A,1.45,A,1.75,B,观望
2025-09-13 20:38:43,1.39,B,-0.91,B,0.2,B,nan,B,-0.13,A,0.2,A,1.45,A,1.75,B,观望
2025-09-13 20:38:44,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多
2025-09-13 20:38:45,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多
