timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论,截图文件
2025-09-15 22:12:33,nan,,nan,,nan,,nan,,nan,,3000.0,,nan,,nan,,观望,../data/fast_screenshots/fullscreen_20250915_221233.png
2025-09-15 22:12:34,-0.34,C,-0.76,B,-0.58,B,-2.09,A,-1.22,A,nan,A,-0.92,A,0.18,B,观望,../data/fast_screenshots/fullscreen_20250915_221234.png
2025-09-15 22:12:35,-0.34,C,-0.76,B,-0.58,B,-2.09,A,-1.22,A,-0.58,A,-0.92,A,0.18,B,观望,../data/fast_screenshots/fullscreen_20250915_221235.png
2025-09-15 22:12:36,-0.34,C,-0.76,B,-0.58,B,-2.09,A,-1.22,A,-0.58,A,-0.92,A,0.18,B,观望,../data/fast_screenshots/fullscreen_20250915_221236.png
2025-09-15 22:12:37,-0.34,C,-0.76,B,-0.58,B,-2.09,A,-1.22,A,-0.58,A,-0.92,A,0.18,B,观望,../data/fast_screenshots/fullscreen_20250915_221237.png
2025-09-15 22:12:38,-0.34,C,-0.76,B,-0.58,B,-2.09,A,-1.22,A,-0.58,A,-0.92,A,0.18,B,观望,../data/fast_screenshots/fullscreen_20250915_221238.png
2025-09-15 22:12:39,-0.34,C,-0.76,B,-0.58,B,-2.09,A,-1.22,A,-0.58,A,-0.92,A,0.18,B,观望,../data/fast_screenshots/fullscreen_20250915_221239.png
2025-09-15 22:12:40,-0.34,C,-0.76,B,-0.58,B,-2.09,A,-1.22,A,-0.58,A,-0.92,A,0.18,B,观望,../data/fast_screenshots/fullscreen_20250915_221240.png
2025-09-15 22:12:41,-0.34,C,-0.76,B,-0.58,B,-2.09,A,-1.22,A,-0.58,A,-0.92,A,0.18,B,观望,../data/fast_screenshots/fullscreen_20250915_221241.png
2025-09-15 22:12:42,-0.34,C,-0.76,B,-0.58,B,-2.09,A,-1.22,A,-0.58,A,-0.92,A,0.18,B,观望,../data/fast_screenshots/fullscreen_20250915_221242.png
2025-09-15 22:12:43,-0.34,C,-0.76,B,-0.58,B,-2.09,A,-1.22,A,-0.58,A,-0.92,A,0.18,B,观望,../data/fast_screenshots/fullscreen_20250915_221243.png
2025-09-15 22:12:44,0.6,,1.12,B,nan,,nan,,nan,,nan,B,nan,,nan,,观望,../data/fast_screenshots/fullscreen_20250915_221244.png
2025-09-15 22:12:45,0.6,,1.12,B,-1.77,B,-2.33,A,0.24,C,-1.77,A,1.52,A,-0.59,B,观望,../data/fast_screenshots/fullscreen_20250915_221245.png
2025-09-15 22:12:46,0.6,,1.12,B,-1.77,B,-2.33,A,0.24,C,-1.77,A,1.52,A,-0.59,B,观望,../data/fast_screenshots/fullscreen_20250915_221246.png
2025-09-15 22:12:47,0.6,,1.12,B,-1.77,B,-2.33,A,0.24,C,-1.77,A,1.52,A,-0.59,B,观望,../data/fast_screenshots/fullscreen_20250915_221247.png
2025-09-15 22:12:48,nan,,nan,,nan,,nan,,nan,,nan,B,nan,,nan,,观望,../data/fast_screenshots/fullscreen_20250915_221248.png
2025-09-15 22:12:50,3.94,AA,3.88,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,nan,,做多,../data/fast_screenshots/fullscreen_20250915_221249.png
2025-09-15 22:12:50,3.94,AA,3.88,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多,../data/fast_screenshots/fullscreen_20250915_221250.png
2025-09-15 22:12:51,3.94,AA,3.88,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多,../data/fast_screenshots/fullscreen_20250915_221251.png
2025-09-15 22:12:52,3.94,AA,3.88,AA,5.54,AAA,2.54,A,5.34,AAA,5.54,A,3.37,AA,3.22,A,做多,../data/fast_screenshots/fullscreen_20250915_221252.png
