timestamp,中证1000_主力等级,中证1000_级别,中证500_主力等级,中证500_级别,沪深300_主力等级,沪深300_级别,上证50_主力等级,上证50_级别,上证指数_主力等级,上证指数_级别,深证成指_主力等级,深证成指_级别,科创50_主力等级,科创50_级别,创业板指_主力等级,创业板指_级别,结论
2025-09-13 19:44:13,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AA,5.54,AAA,3.37,AAA,3.22,AA,做多
2025-09-13 19:44:17,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AA,5.54,AAA,3.37,AAA,3.22,AA,做多
2025-09-13 19:44:21,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AA,5.54,AAA,3.37,AAA,3.22,AA,做多
2025-09-13 19:44:25,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AA,5.54,AAA,3.37,AAA,3.22,AA,做多
2025-09-13 19:44:29,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AA,5.54,AAA,3.37,AAA,3.22,AA,做多
2025-09-13 19:44:33,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AA,5.54,AAA,3.37,AAA,3.22,AA,做多
2025-09-13 19:44:37,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AA,5.54,AAA,3.37,AAA,3.22,AA,做多
2025-09-13 19:44:42,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AA,5.54,AAA,3.37,AAA,3.22,AA,做多
2025-09-13 19:44:46,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AA,5.54,AAA,3.37,AAA,3.22,AA,做多
2025-09-13 19:44:50,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AA,5.54,AAA,3.37,AAA,3.22,AA,做多
2025-09-13 19:44:54,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AA,5.54,AAA,3.37,AAA,3.22,AA,做多
2025-09-13 19:44:58,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AA,5.54,AAA,3.37,AAA,3.22,AA,做多
2025-09-13 19:45:02,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AA,5.54,AAA,3.37,AAA,3.22,AA,做多
2025-09-13 19:45:07,3.94,AA,3.87,AA,5.54,AAA,2.54,A,5.34,AA,5.54,AAA,3.37,AAA,3.22,AA,做多
